#indicator	indicator_type	meta.source	meta.desc	meta.do_notice	meta.if_in
estudiobarco.com.ar	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
jambola.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
oregonreversemortgage.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
gibdd.ws	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
anoukdelecluse.nl	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
marciogerhardtsouza.com.br	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.decorandoimoveis.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
openroadsolutions.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
tusrecetas.net	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
trion.com.ph	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
hamilton150.co.nz	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
takaram.ir	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
americancorner.udp.cl	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
dichiro.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
challengestrata.com.au	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
beyondthedog.net	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
lazymoosestamping.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
maternalserenity.co.uk	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.vishvagujarat.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
cursos.feyda.net	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
igatha.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
best-service.jp	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
viralcrazies.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
double-wing.de	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
eatside.es	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
domaine-cassillac.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
definitionen.de	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
recaswine.ro	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
ecocalsots.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
nupleta.com.br	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
national-drafting.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
haarsaloncindy.nl	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
takatei.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
feuerwehr-stadt-riesa.de	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.hanoiguidedtours.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.rippedknees.co.uk	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
paintituppottery.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
ecolux-comfort.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.granmarquise.com.br	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
konyavakfi.nl	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
abdal.com.ua	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
building.msu.ac.th	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
frame3d.de	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
autohaus-seevetal.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
bisofit.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.healthstafftravel.com.au	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
aditaborai.com.br	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
theassemblyguy.co.nz	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.001edizioni.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
madisonbootcamps.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
millsmanagement.nl	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
nonnuoccaobang.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
italyprego.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.kadinweb.net	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.plexipr.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.bishopbell.co.uk	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
studiolegalecsb.it	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
smartnote.co	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
dechehang.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.feddoctor.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
portret-tekening.nl	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
ascortimisoara.ro	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
8vs.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
glitchygaming.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
grochowina.net	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
tcblog.de	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
dining-bar.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
london-escorts-agency.org.uk	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
event-travel.co.uk	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
jadwalpialadunia.in	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
aspectdesigns.com.au	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
inspirenetworks.in	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
cheapshirts.us	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
patrianossa.com.br	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
silstop.pl	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
portalmaismidia.com.br	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
procrediti.com.ua	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.gjscomputerservices.com.au	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
ilovesport.kiev.ua	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
babylicious.ie	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
fun-pop.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
d3mpd.fe.uns.ac.id	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
icsot.na.its.ac.id	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
emprende21.es	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
kuruyaprak.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
arttoday.sk	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
7-eleven-handbags.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
balkanium.altervista.org	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
avancarvisual.com.br	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
anime-tuner.square7.ch	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.taoblu.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
www.weddingsonthefrenchriviera.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
markossolomon.com	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
jauregia.net	Intel::DOMAIN	brown.intel	china_ransomware	F	HTTP::IN_HOST_HEADER
0e41d2eef9dda5908b9ec1f365f96cfb	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
419ca21b4e2d4835ba1767375fcf1bda	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
4e7b83047c36b2161e582d962d85d927	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
5edb14f79054a2c0632e1c3c578ce1af	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
7d6e385c8d3035e9c1fbc1c7c387149a	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
8f6220f94da3e0957f48d59ea3858b17	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
906c1fcdd01cdca7ee4ad64f4f4b83c3	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
de93c6767e4d28c2ac28df6233dfb1bf	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
ee5aec8237552d831a49aa564dcf5c81	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
ff81bd11d91d5c61da3c1c27e1a8fb85	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
902686d6de9bfc783843a045b1089c33	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
7753973154fc9c1aee7d30c07da3606c	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
21e1a87bd0418381a1bc8df088ee5c91	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
00ad6a151863f49ede3b7df192501a21	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
1269ae73588fe8784ef597880b2c6d89	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
cead34f193e60f0018d1d40c4601422f	Intel::FILE_HASH	brown.intel	threat_cloud_powershell	F	-
